Accession,Platform,SeqClass,Species,Cells,PMID,Date,Title
E-HCAD-18,Drop-Seq,shortread,Mouse,6095,30796046,2/24/19,Maturation Of Heart Valve Cell Populations During Postnatal Remodeling.
E-MTAB-10026,10X Genomics,shortread,Human,656739,33879890,4/20/21,Deciphering the molecular immune response to COVID-19 using single cell multi-omics
E-MTAB-10197,10X Genomics,shortread,Mouse,5058,29752062,5/13/18,Single-Cell Rna Sequencing Of Lymph Node Stromal Cells Reveals Niche-Associated Heterogeneity.
E-MTAB-2983,Smart-Seq,longread,Human,30,26444631,10/9/15,Adult Human And Mouse Ovaries Lack Ddx4-Expressing Functional Oogonial Stem Cells.
E-MTAB-3857,Fluidigm,longread,Mouse,243,26950746,3/8/16,T Cell Fate And Clonality Inference From Single-Cell Transcriptomes.
E-MTAB-3929,Smart-Seq,longread,Human,1091,27062923,4/12/16,E-MTAB-3929
E-MTAB-4547,Fluidigm,longread,Mouse,351,28479188,5/10/17,Vitamin A-Retinoic Acid Signaling Regulates Hematopoietic Stem Cell Dormancy.
E-MTAB-4850,Smart-Seq,longread,Human,56,26860370,2/11/16,Linking The T Cell Receptor To The Single Cell Transcriptome In Antigen-Specific Human T Cells.
E-MTAB-5485,Fluidigm,longread,Mouse,93,31092921,5/17/19,Tracing The Origin Of Adult Intestinal Stem Cells.
E-MTAB-5553,Fluidigm,longread,Mouse,113,28522527,5/20/17,Lineage-Dependent Spatial And Functional Organization Of The Mammalian Enteric Nervous System.
E-MTAB-5661,Fluidigm,longread,Mouse,269,28652613,6/28/17,Flipping Between Polycomb Repressed And Active Transcriptional States Introduces Noise In Gene Expression.
E-MTAB-5727,Fluidigm,longread,Mouse,154,29330484,1/14/18,Single-Cell Rna-Sequencing Resolves Self-Antigen Expression During Mtec Development.
E-MTAB-5802,Fluidigm,longread,Mouse,265,29925944,6/22/18,A Stromal Cell Population That Inhibits Adipogenesis In Mammalian Fat Depots.
E-MTAB-6031,Fluidigm,longread,Mouse,189,32178760,3/18/20,Coordinated Hedgehog Signaling Induces New Hair Follicles In Adult Skin.
E-MTAB-6051,Smart-Seq,longread,Mouse,536,30013148,7/18/18,T Cell Cytolytic Capacity Is Independent Of Initial Stimulation Strength.
E-MTAB-6058,Fluidigm,longread,Human,62,29153988,11/21/17,Isolation And Comparative Transcriptome Analysis Of Human Fetal And Ipsc-Derived Cone Photoreceptor Cells.
E-MTAB-6077,Nextera XT,shortread,Mouse;Zebrafish,90,30478328,11/28/18,Heart Enhancers With Deeply Conserved Regulatory Activity Are Established Early In Zebrafish Development.
