Mixture,monocyte,cd4_positive_alpha_beta_t_cell,cd8_positive_alpha_beta_t_cell,b_cell,conventional_dendritic_cell,natural_killer_cell,plasmacytoid_dendritic_cell,platelet,P-value,Correlation,RMSE
sample0,0.10973309866079,0.439367521066573,0.219720985625963,0.153566365157663,0.0420141902314286,0.0128912728970845,0.0219719981197862,0.000734568240712074,0,0.798035900352266,0.770118219550208
sample1,0.0301579170284032,0.223541199904294,0,0.179810878382115,0.17551658418961,0.0299478869175337,0.307135700387615,0.0538898331904292,0,0.882107006255823,0.64286559433903
sample2,0.0339468431036709,0.396056728389889,0.403520733977914,0.0571483910146086,0,0,0.0479544736007666,0.0613728299131508,0,0.898123023559713,0.760955895416264
sample3,0.556270383634874,0.312550570911516,0,0.025321119784333,0.07589563774329,0.00308395218922263,0.0105641236203004,0.0163142121164644,0,0.859838764888621,0.51470454809327
sample4,0.0345624705402441,0.188695179638166,0,0.131625154222531,0.493920727063223,0.0040896072126619,0.145480195585313,0.00162666573786066,0,0.836850034082123,0.592529455589811
sample5,0.0568778809749988,0.628863979237292,0.121341715890791,0.00222245614674789,0.00507216827881074,0.179531029058732,0.00573822481623187,0.000352545596395234,0,0.868481135429353,0.756801242736168
sample6,0.205482404865781,0.321792717641696,0,0.0125341218693412,0.060239827600381,0.0411802994610846,0.358344822905968,0.00042580565574787,0,0.789755216830643,0.698641873456184
sample7,0.0776977802429588,0.612512774790281,0.0485873308510558,0.000146606928858035,0.0278723459613895,0.13161811600125,0,0.101565045224207,0,0.853861089378722,0.730297042619741
sample8,0.0625071470062315,0.188292227478032,0.00708739313626084,0.00739086917778135,0.476709484350049,0.0324342163749995,0.222171090300698,0.00340757217594852,0,0.840171070854025,0.589055267381451
sample9,0.113897863460502,0.184732246780549,0,0.0454403672468329,0.330109396943342,0.0382817251866655,0.286644362226234,0.000894038155874235,0,0.82138993597111,0.626229639588886
sample10,0.0300788629169266,0.277581858514068,0.396331559168706,0,0,0.0443878098095113,0.222871376235728,0.0287485333550594,0,0.883131185656794,0.769985146054969
sample11,0.00936373697589464,0.24989165489878,0.0620142816609399,0.07411562312827,0,0.0756522876303344,0.52844699390956,0.000515421796221307,0,0.858463515605654,0.68933786644686
sample12,0.0436641821766276,0.186058336967867,0.19775799471345,0,0.517986987319911,0.0402894845087009,0.0142430143134428,0,0,0.796956764826819,0.647558206109748
sample13,0.00749350516646835,0.569440898960035,0.246104881199154,0.00444232921262662,0,0.125666731991738,0.0467729751977597,7.86782722189132e-05,0,0.896125047152488,0.764691391070997
sample14,0.39311018763319,0.207420201481491,0.187490985377976,0,0.0126569792252487,0.0692743093213779,0.00411318734206208,0.125934149618654,0,0.814728113171121,0.617574722939715
sample15,0.0438965580362073,0.447955031279177,0.44012445602905,0.0155118117535695,0.0060682266880822,0,0.00419375383829785,0.0422501623756154,0,0.906052115677982,0.763007064637434
sample16,0.126983707889832,0.764805428980634,0,0.00347092476231822,0.00811950726863785,0.0876352527256461,0.0086398952430333,0.000345283129899163,0,0.849505109025389,0.752688863441077
sample17,0.117456382466947,0.17200945846539,0.0701840123568214,0.00124876290074615,0.14003528670066,0.130547752010068,0.26753123279482,0.100987112304549,0,0.805666210121683,0.691043931684329
sample18,0.159306550901919,0.385775066183201,0.452104203260073,0.000970466839274434,0,0,0.00179001277924394,5.3700036288671e-05,0,0.799458185152482,0.769467050925751
sample19,0.0251304400942048,0.38671480428662,0.464267957446478,0,0,0,0.113726359871291,0.0101604383014064,0,0.904852569744037,0.773595427836771
sample20,0.297815382096494,0.246263053123288,0.203371697157663,0.00751247759537076,0,0.190896977915837,0,0.054140412111347,0,0.760866410184936,0.708745118576644
sample21,0.267528360509198,0.614897833014118,0,0.000823038987909829,0,0.107277228571797,0.00924198550317539,0.000231553413802434,0,0.729743744625545,0.748033779781455
