Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample0,0.0752841159543881,0.138965566445578,0.0225905090090741,0.256293806256338,0.147305325517788,0.0423624689897852,0,0,0.0234843754852336,0,0,0.0457254615002728,0.146363510558741,0,0,0.0459651291513808,0.0111781745226647,0.0212806515553538,0.0137163250049501,0,0.00948458004845198,0,0,0.660081363662711,0.764493806027446
sample1,0.0974895132078322,0.297960216483128,0.103358667002204,0.0569942639512224,0.0454875871773048,0,0.0588953808911928,0,0,0.00327869131447509,0.0333071350771024,0.00417277078137233,0.0910594448330279,0,0,0.145344100851739,0,0.0319321847985086,0.0242786216723174,0,0.00644142195857252,0,0,0.675310819059972,0.750540753161171
sample2,0.102052646283714,0.0836172835230536,0.0125652057300173,0.301074539702602,0.290753329421086,0,0.0413759415715248,0,0.0181940380541216,0,0,0.010253393506269,0.085160854147383,0,0,0.0236957750714428,0,0.0125678466121394,0.00785606939441449,0,0.0108330769822322,0,0,0.687587988566664,0.732866129673307
sample3,0.0171176901806858,0.0548291353278567,0.00196067177068864,0.0160867895961377,0.114090589930327,0.0252441295860051,0,0,0.0122626242406301,0,0,0.000446265537418961,0.570744769866734,0,0,0.118405741127202,0,0.0382512264904814,0.0257087871723695,0,0.00485157917346347,0,0,0.726847636486227,0.704440628242683
sample4,0.048848672181115,0.235735274106469,0.0259703734424599,0.044246651508414,0.0415718197450219,0,0.0328367708322541,0,0,0,0.0170210947593174,0,0.175688952024161,0,0,0.205305706764468,0.121539310843074,0.0366944733391725,0.012104624022787,0,0.00243627643128679,0,0,0.598987873293761,0.816829639367734
sample5,0,0,0.00217852850542926,0.232127486294116,0,0.494647888871536,0,0,0,0.124126240418648,0,0.0642616711949295,0.053093665282014,0.000382404461856584,0,0.00244400700948955,0,0.00832113538449586,0.0184169725774862,0,0,0,0,0.75788058851793,0.653660373333199
sample6,0.00416888409827683,0.0525795726208885,0.0704113604622093,0.0870522613427841,0,0.210241170951107,0.00800391325658503,0,0,0.0750960564612861,0,0.0376000964612537,0.257603151375407,0,0,0.142180655168329,0,0.00529704575793396,0.0441172431240405,0,0.00564858891990021,0,0,0.586326544685833,0.821873895118778
sample7,0,0.0209764658775575,0.000855947550996032,0.282065248997422,0.0404965726217135,0.405106020698967,0,0,0,0,0,0.0669208405317094,0.134097679339572,0,0,0.0157586861790647,0,0.00192952493720581,0.0317930132657923,0,0,0,0,0.588238849356912,0.809130810830165
sample8,0,0.148362227920089,0.0354518676723267,0.044906473876649,0,0.167267295072197,0,0,0,0.0443935873848738,0,0.0154482834216777,0.160967175070143,0,0,0.196386950580245,0.117816707401765,0.0261319521803549,0.0380784061085059,0,0.00478907331117189,0,0,0.539663288394553,0.854518454005033
sample9,0.0253032098692398,0.154048874090282,0.0443537332170333,0.157296613352873,0,0.034092506925012,0.00781486469449313,0,0,0,0.0100790362106535,0.0411624339026246,0.21026155375896,0,0,0.212266231213949,0.0349739965777064,0.0298854167130876,0.038461529474085,0,0,0,0,0.594609096541405,0.822454741535089
