	b cell	cd4-positive, alpha-beta t cell	cd8-positive, alpha-beta t cell	conventional dendritic cell	monocyte	natural killer cell	plasmacytoid dendritic cell	platelet
0	0.1417378	0.16577314	0.13877995	0.015438564	0.16679098	0.024877466	0.22053885	0.12606323
1	0.052193444	0.1093156	0.24622545	0.121947385	0.07359085	0.10435601	0.1544348	0.13793647
2	0.22114894	0.1759705	0.051684245	0.3077083	0.00940383	0.043861683	0.116788656	0.07343387
3	0.17817374	0.15131046	0.14473543	0.12437692	0.15464324	0.08193469	0.08479041	0.08003513
4	0.2768208	0.1556954	0.09699655	0.06032732	0.16449033	0.10981654	0.03249253	0.10336054
5	0.38343117	0.082185015	0.18136132	0.07669912	0.031502068	0.124746196	0.059107583	0.06096754
6	0.12701346	0.18994232	0.14317852	0.13877314	0.17027225	0.08201014	0.08950876	0.059301443
7	0.18552208	0.16645335	0.08198857	0.084789954	0.0687205	0.19403495	0.07585411	0.14263652
8	0.097370066	0.15522084	0.037884414	0.04682524	0.0690075	0.13975623	0.29577982	0.15815586
9	0.07795049	0.077045575	0.30457002	0.15254085	0.08099899	0.05737026	0.10788711	0.14163665
10	0.34332126	0.0461252	0.20328616	0.107459284	0.02822973	0.113987766	0.08126974	0.07632076
11	0.051976826	0.054743465	0.22251686	0.13124225	0.15887989	0.049199585	0.2945528	0.03688835
12	0.05205013	0.18243682	0.2565604	0.032714084	0.15531103	0.07679834	0.10932578	0.13480343
13	0.060857426	0.29332125	0.056543995	0.17814642	0.03211781	0.02295651	0.28341332	0.07264318
14	0.04360803	0.07893066	0.06259291	0.16692123	0.15463658	0.23897961	0.07761373	0.17671724
15	0.0906486	0.306552	0.28968194	0.07205816	0.06656509	0.07057225	0.028276553	0.07564543
16	0.15383254	0.063277885	0.22288227	0.25034362	0.029319786	0.11779992	0.047520343	0.115023635
17	0.16420275	0.15163003	0.19218649	0.022971634	0.057945076	0.13611844	0.13876578	0.13617975
18	0.0875157	0.24589464	0.10205862	0.049353957	0.12750994	0.067634694	0.21769173	0.10234072
19	0.16203025	0.050671954	0.15658782	0.1663757	0.16642445	0.083756305	0.17775081	0.036402702
20	0.12956026	0.10838727	0.04855471	0.18881236	0.03461246	0.16654341	0.19869676	0.12483282
21	0.08346153	0.1266637	0.092053466	0.034854356	0.14501864	0.12759216	0.2900938	0.10026245
22	0.05975251	0.12537287	0.18832397	0.054562707	0.23025522	0.07788441	0.1800685	0.08377977
23	0.145379	0.14766458	0.11410773	0.15855213	0.08225074	0.30157426	0.016610749	0.03386087
24	0.03893535	0.031455316	0.36059147	0.09621218	0.16529459	0.016882977	0.22840221	0.062225822
25	0.0582878	0.2277508	0.051040437	0.09142637	0.08204086	0.12645775	0.11897415	0.24402189
26	0.37011468	0.1450238	0.04151362	0.06299458	0.038864497	0.077853605	0.1438699	0.11976524
27	0.16727938	0.13861233	0.119886294	0.05952793	0.11463357	0.13011058	0.13733335	0.1326166
28	0.09497525	0.22772016	0.030338868	0.14372328	0.11370781	0.051605135	0.21357648	0.12435304
29	0.13786882	0.12579453	0.048930217	0.09483491	0.15441753	0.09664002	0.12165733	0.21985665
30	0.06611825	0.15316798	0.036137212	0.18177111	0.08242638	0.029969933	0.35339049	0.09701865
31	0.23325473	0.02252735	0.24667983	0.12165905	0.025731241	0.08495541	0.06908314	0.19610916
32	0.09466509	0.06960631	0.14131047	0.14639519	0.07293857	0.24422811	0.15940677	0.071449526
33	0.04351173	0.1286411	0.21866551	0.17505407	0.22365496	0.043604072	0.07823457	0.08863403
34	0.25953975	0.0474813	0.15046677	0.24981543	0.018529788	0.17081214	0.0737856	0.02956924
35	0.046294365	0.17765889	0.09592467	0.3099425	0.09322121	0.03166615	0.09823203	0.14706017
36	0.12865955	0.27883086	0.091240436	0.1645563	0.15174508	0.024881782	0.08919909	0.07088698
37	0.20850715	0.078947246	0.08510043	0.22462854	0.11885297	0.0937274	0.16698752	0.023248808
38	0.13978851	0.06048639	0.26705196	0.07058267	0.1950956	0.07055585	0.17460902	0.021829987
39	0.051465712	0.25144398	0.04638474	0.1145002	0.031795036	0.12361061	0.30114844	0.079651274
40	0.21799299	0.081402056	0.16385683	0.06485418	0.07057406	0.15464701	0.16800751	0.0786653
41	0.048057273	0.066984184	0.24300224	0.13615954	0.038425997	0.21403913	0.2079572	0.045374442
42	0.07059391	0.08180314	0.016823156	0.29960173	0.074964605	0.22849701	0.14684774	0.08086869
43	0.08134874	0.11410669	0.19597653	0.07363553	0.025108257	0.11072005	0.2574087	0.14169553
44	0.28305498	0.11898451	0.0763087	0.015194177	0.13439155	0.06834142	0.22062793	0.08309671
45	0.059473753	0.33632734	0.061241854	0.10293862	0.12553962	0.113815606	0.052516546	0.14814663
46	0.07198731	0.07245584	0.20461974	0.13577044	0.10215619	0.04417546	0.24609406	0.122741014
47	0.032828964	0.1503195	0.12578191	0.13597213	0.018576268	0.30919468	0.17515457	0.052171987
48	0.021839889	0.14604948	0.14129372	0.2498966	0.080285594	0.0771761	0.17452356	0.108935036
49	0.13553141	0.096890464	0.2070481	0.11365476	0.10836217	0.081096	0.09920103	0.15821609
50	0.057883833	0.20924631	0.13808991	0.11329977	0.107623294	0.11816927	0.12782718	0.12786043
51	0.11294201	0.0996334	0.062557004	0.07558476	0.07413506	0.20977524	0.30092564	0.06444687
52	0.044972714	0.08277196	0.13307296	0.17165941	0.09696683	0.24254398	0.07666542	0.15134676
53	0.044709746	0.028777482	0.29248253	0.024363391	0.14184493	0.08255499	0.23209512	0.15317185
54	0.11324175	0.19420457	0.063954346	0.10084589	0.18551713	0.11589442	0.16152328	0.06481862
55	0.04535825	0.14440969	0.191712	0.23473369	0.050851516	0.07023156	0.188696	0.074007325
56	0.23985197	0.0589139	0.29978865	0.10756554	0.10871563	0.048319835	0.054148737	0.08269572
57	0.08053704	0.08702171	0.17306152	0.06789545	0.19648163	0.06521764	0.1425685	0.1872165
58	0.082515694	0.1782972	0.19607545	0.11877744	0.15066941	0.054317992	0.09288548	0.12646131
59	0.18917088	0.18021007	0.1313767	0.058799934	0.15074383	0.097615175	0.08758907	0.10449442
