"","monocyte","cd4_positive_alpha_beta_t_cell","cd8_positive_alpha_beta_t_cell","b_cell","conventional_dendritic_cell","natural_killer_cell","plasmacytoid_dendritic_cell","platelet"
"sample0",0.0658530202338532,0.0161741420375318,0.762763046811333,0.113224277094738,0.0305259781384819,0.00236547811920403,0.00487409909074793,0.00421995847410996
"sample1",0.0709566996596158,0,0.35161528253334,0.101682352266627,0.211808245950731,0.0441581150574028,0.147081092748822,0.0726982117834623
"sample2",0.109789475084755,0,0.718384398670234,0.0708951370800748,0,0.000941459247906004,0.0279834068272908,0.0720061230897401
"sample3",0.408071995019846,0.0480901085894613,0.314857051944923,0.0285659253666731,0.141198519002574,0.0223611744622599,0,0.0368552256142627
"sample4",0.0239471652471162,0,0.49113383550321,0.0579918985803271,0.342687240494151,0,0.0636973143574159,0.0205425458177804
"sample5",0.0960090782441468,0.0244424568187527,0.749802985003413,0.000173923659503746,0.00361667391234105,0.115950303710348,0,0.0100045786514946
"sample6",0.197631326422612,0,0.391228755149364,0.0156037512604504,0.0592588691229316,0.0806938294649215,0.230606205884156,0.0249772626955652
"sample7",0.19763451071855,0.227675118443044,0.230880497243027,0.000161637258905974,0.0200977214321801,0.219030554798729,0,0.104519960105565
"sample8",0.0436294841989285,0,0.420268823303869,0.00998779976251595,0.384816293255946,0.0223647834367204,0.0958225119145969,0.0231103041274238
"sample9",0.0948166481836401,0.00348070654923687,0.411786782751413,0.0345607140185806,0.248285311378875,0.0329837042933333,0.158548848050823,0.0155372847740976
"sample10",0.0844610548911894,0,0.646703528343033,0.00993768482982773,0.0263357283641915,0.0755212453077017,0.113256373156549,0.0437843851075067
"sample11",0.00251555944699555,0.117784924607195,0.306187597929618,0.0933995736728822,0,0.167940650941929,0.309002262292191,0.00316943110918892
"sample12",0.0323046865316992,0.00362900440387042,0.546380709897267,0.000792723186163963,0.385067311826745,0.0115046246823208,0.00357899823308249,0.0167419412388512
"sample13",3.71238932201661e-05,0.736076275800934,0,0.00140680758054242,4.35311802333548e-05,0.238540008974781,0.023837101525814,5.91510444745277e-05
"sample14",0.452070313222296,0.00307856187891344,0.25942269886776,0.000928050645519379,0,0.140639223868939,0,0.143861151516573
"sample15",0.0996825038802219,0,0.827834232136256,0.0212257395448285,0,0,0.000196573763977197,0.0510609506747164
"sample16",0.105937208461045,0.0806793845541859,0.648159420845992,0.000456157073095597,0.0565687449679592,0.0983726882603467,0,0.00982639583737553
"sample17",0.247842080358252,0,0.166106516459418,0.00849280503468611,0.101498870613707,0.215338338323982,0.146566860844574,0.114154528365381
"sample18",0.113970533911811,0.0527000864884221,0.821960311729315,0.00254726739963377,0.00513421185337496,0,0,0.00368758861744295
"sample19",0.0134584739138553,0.0674682779077436,0.811131874064496,0.00133771017712029,0,0.032825096494143,0.0563968462045588,0.0173817212380826
"sample20",0.274258177922412,0.000392302218773996,0.307180027928935,0.0059353608408431,0.0359130279574491,0.318966736235448,0,0.057354366896139
"sample21",0.178690725106866,0.0920053807015016,0.503079205537633,0,0.0781883314708226,0.140741219614096,0,0.00729513756908103
"sample22",0.171411442150169,0,0.293595584537604,0,0.0263993536663871,0.419861940424895,0,0.0887316792209444
"sample23",0.159721231970278,0,0.573084405640713,0.250303734827633,0.0100988901320846,0,0.00012736422530201,0.00666437320398973
"sample24",0.0168984450928549,0.334880850284352,0.488632389515564,0.144013235482663,0.00331722935024927,0.000493864864334598,0.00252017459873638,0.00924381081124652
"sample25",0.305341348248907,0.00255795673664587,0.317619591170577,0.00421899187895834,0,0.121126945739255,0.035134366657258,0.2140007995684
"sample26",0.0232311988887952,0,0.525012388889938,0.000390830673187305,0.412615708672871,0.024577068626616,0.00198605571132004,0.0121867485372721
"sample27",0.0587449040611009,0.314845308677019,0.228505675494622,0.067184921840523,0,0.196094370806593,0.116296771028427,0.0183280480917152
"sample28",0.00328660157199728,0.256380815146305,0.711806969772952,0.000287117515019381,0,0.0236890975162611,0.00179276730176436,0.00275663117570042
"sample29",0.537460622207532,0.00251537817996409,0.146715816595728,0.00903004301455029,0.0638889566964489,0.0982282920181802,0,0.142160891287597
"sample30",0.20870044858288,0,0.263313108883207,0.0205735378218662,0.387723974003851,0.00400250217358564,0.0766681913995972,0.0390182371350136
"sample31",0.195784508267629,0,0.345479728044567,0.201653551423653,0,0.136963231950009,0,0.120118980314142
"sample32",0.0255831419052175,0.000362736159081811,0.522552862806419,0.00391769407631695,0.183193837626159,0.0609540121320764,0.181206746897192,0.0222289683975371
"sample33",0.00219311514090149,0.197583177785173,0.550155114929236,0,0.182772302556292,0.0124722888173655,0.0464750957078705,0.00834890506316193
"sample34",0.0439157246788494,0.015949635621445,0.478509084958269,0.000279886350471979,0,0.44122719704725,0,0.0201184713437145
"sample35",0.302766139893835,0,0.4808087957703,0.00186925071442883,0.0232129174703696,0.0805405779819744,0,0.110802318169092
"sample36",0.165392416490555,0.00362820121341565,0.46477016126424,0.00848550787612501,0.0541859590049351,0.144181788807058,0.120113268476905,0.0392426968667656
"sample37",0.0163838508254708,0.0725130221533393,0.775312327061441,0.00224587345948803,0.0330313813306508,0.0244751706632769,0.0724714240516178,0.00356695045471499
"sample38",0.0577689293110934,0,0.359522695480497,0.357199200423299,0.116470429284852,0.0312350548850427,0.0677230931041566,0.0100805975110601
"sample39",0.0642064381758059,0,0.44484685571137,0.451324193369672,0,6.80315047586692e-05,0,0.0395544812383943
"sample40",0,0.686600826106703,0.20895527359027,0.00229346975838344,0,0.102150430544644,0,0
"sample41",0.217211799260258,0,0.52232441942121,0.0101748885167383,0.0553709181064107,0.184923812722675,0,0.00999416197270744
"sample42",0.437745174440987,0,0.219564855854708,0.00193644138114373,0.242760112314047,0.018716677317962,0.0467068135588924,0.032569925132261
"sample43",0.0980441464981345,0.0029259705143301,0.469448552083785,0.0097184856837113,0.022649710362008,0.165750241720826,0.184167114131761,0.0472957790054451
"sample44",0.0375904922088081,0.171757430024165,0.6464066440395,0.101077509113765,0.000307838198370651,0.0257347585422281,0.000107587322059373,0.0170177405511039
"sample45",0.197277202803149,0,0.675064350932999,0.0287876080789177,0,0.0014096724979817,0,0.0974611656869527
"sample46",0.0115964999499163,0.308835488178499,0.503367337584013,0.0392035800525983,0.123621679874453,0,0.00696046009809883,0.00641495426242174
"sample47",0.0750878940457741,0,0.585125182965489,0,0,0.302198054877347,0,0.0375888681113906
"sample48",0.449512449794867,0,0.291622702558773,0.00462072597399931,0.11239785423033,0.0437389750381617,0.0437641312584919,0.0543431611453771
"sample49",0.188885896537986,0,0.333094788140206,0.368935018220655,0.00578170946554617,0.0271644084380673,0.0237122948792499,0.0524258843182896
"sample50",0.130413510480199,0.157374129081541,0.526511239692908,0.00613450405214448,0.0249951794083655,0.0870508044633675,0.000327576098323822,0.0671930567231507
"sample51",0.0105293449729174,0.61701825573597,0.0646208434533081,0.0914001764470284,0.00480221593631156,0.184507305674542,0.0226815790402433,0.0044402787396802
"sample52",0,0.764223439274465,0.226198988428926,0.000763462267630037,0,0.007624060638323,0.00119004939065589,0
