	b cell	cd4-positive, alpha-beta t cell	cd8-positive, alpha-beta t cell	conventional dendritic cell	monocyte	natural killer cell	plasmacytoid dendritic cell	platelet
0	0.26072222	0.2857089	0.27346015	0.11818757	0.0082322275	0.0043067355	0.04926736	0.00011491056
1	0.20691265	0.05139162	0.08374316	0.18641908	0.029155862	0.07035463	0.21982743	0.15219557
2	0.23038174	0.22529846	0.26169994	0.0045637586	0.0027838405	0.09664298	0.0060084644	0.17262083
3	0.0379039	0.07193699	0.05124804	0.208204	0.28115875	0.08465937	0.1389432	0.12594576
4	0.20268416	0.1407053	0.11680483	0.27768427	0.06340153	0.0013134879	0.19702972	0.00037672798
5	0.12320521	0.2766991	0.25689542	0.012299964	0.0893364	0.23616827	0.005139286	0.00025628615
6	0.10896213	0.100440316	0.075506866	0.14023356	0.16608639	0.11958529	0.27351275	0.015672704
7	0.046993215	0.09132191	0.13893288	0.028484942	0.099193715	0.2813901	0.006146422	0.30753684
8	0.124451645	0.0907138	0.07884201	0.28705585	0.10665184	0.03954476	0.25049186	0.022248257
9	0.14983155	0.11039454	0.08745644	0.25215185	0.096566334	0.043696146	0.24823092	0.011672306
10	0.14495173	0.18979642	0.22078976	0.008871127	0.002134664	0.17708652	0.17562814	0.080741614
11	0.2206918	0.16024561	0.14850187	0.030724676	0.00024827974	0.12641071	0.31304464	0.00013239835
12	0.11256393	0.17883153	0.14705014	0.2716729	0.11373981	0.025213582	0.1484584	0.0024697166
13	0.10329668	0.3084407	0.28571704	0.0015625071	0.00066341547	0.28786802	0.012282122	0.00016949177
14	0.0013350183	0.0014660114	0.0136262225	0.12248652	0.25255728	0.22173686	0.091271706	0.29552045
15	0.21343762	0.27646804	0.29157844	0.007377026	0.020449754	0.06597011	0.004696731	0.12002236
16	0.11880064	0.25397247	0.22620542	0.043809053	0.1456576	0.17348503	0.03778812	0.00028170994
17	0.003043415	0.0007120062	0.0018722675	0.12052479	0.14538659	0.24428257	0.1914392	0.29273912
18	0.20561375	0.31865862	0.31320235	0.031143125	0.111962214	0.004581364	0.014725989	0.0001126379
19	0.21401556	0.3078526	0.31931856	0.003368625	0.0018140292	0.03725071	0.11616165	0.0002182165
20	0.025285844	0.05822107	0.074382365	0.062083226	0.23733279	0.27668318	0.057630602	0.20838091
21	0.070679806	0.20202917	0.15590948	0.083369724	0.2288548	0.19382325	0.06453115	0.00080256135
22	0.024070282	0.024811856	0.06652319	0.06386491	0.16599892	0.32505542	0.006669276	0.32300618
23	0.2540619	0.23122902	0.21051641	0.12759396	0.11065126	0.002065841	0.06378337	9.835286e-05
24	0.30955246	0.3227835	0.31103033	0.038751673	0.00074637594	0.00526717	0.0117656225	0.00010278929
25	0.006648886	0.0011187622	0.033149652	0.091171175	0.21938354	0.2356251	0.09130775	0.3215951
26	0.09120962	0.17563257	0.124867536	0.2784595	0.10822611	0.06586678	0.14804071	0.0076972176
27	0.16110247	0.19008566	0.17627093	0.061708674	0.028591778	0.19670534	0.18513004	0.00040520894
28	0.20991942	0.38961047	0.39333394	0.0007719426	0.0003892726	0.0032474722	0.0026392622	8.816391e-05
29	0.00034060745	0.00016339398	0.00033790135	0.16220535	0.2759457	0.16822328	0.08790037	0.30488345
30	0.07109059	0.0133024	0.02392183	0.27952605	0.24100246	0.0221647	0.23228496	0.11670706
31	0.24144766	0.024995726	0.10807318	0.067565076	0.027293632	0.23880067	0.011457159	0.2803669
32	0.13043636	0.1577589	0.1571927	0.18994857	0.005920772	0.10366558	0.25463507	0.00044202706
33	0.1492623	0.26121002	0.250482	0.18808742	0.002481828	0.029689444	0.11860783	0.00017920093
34	0.07655545	0.1590128	0.1823019	0.023628084	0.041448057	0.42593062	0.0037846484	0.08733844
35	0.04753944	0.08325153	0.13928564	0.05430941	0.19328292	0.19238156	0.02884091	0.26110864
36	0.082137465	0.12852228	0.13204381	0.063534744	0.09388999	0.20543928	0.20108047	0.093351945
37	0.20600739	0.31389338	0.30500174	0.004200143	0.0005715501	0.05377756	0.11646213	8.613824e-05
38	0.26497188	0.14061305	0.12778865	0.24135008	0.009672465	0.002744836	0.21275191	0.00010717795
39	0.32257143	0.18709153	0.21050453	0.13906084	0.00079187355	0.016411131	0.068263754	0.055304863
